"name","producer","region"
"Opera Bianco","Mamete Prevostini","Alpi Retiche"
"Opera Omnia Bolgheri Superiore","La Madonnina","Bolgheri Superiore"
"Opera Prima","Roagna","Barbaresco"
"Opere di San Pietro Amarone","Villa Girardi","Amarone della Valpolicella"
"Opheliah Maria Bolgheri Superiore","Tenuta Argentiera","Toscana"
"Opheliah Maria Toscana","Tenuta Argentiera","Toscana"
"Ophis Rosso Piceno","Cantina d'Angelo","Rosso Piceno"
"Opi Chardonnay Terre di Chieti","Farnese","Terre di Chieti"
"Opi Montepulciano d'Abruzzo Colline Teramane Riserva","Farnese","Montepulciano d'Abruzzo Colline Teramane"
"Opimio Pinot Bianco","Ca' Bolani","Friuli-Venezia Giulia"
"Oppidum Moscato di Terracina Secco","Cantina Sant'Andrea","Chianti"
"Opra Negroamaro Rosado","Schola Sarmenti","Puglia"
"Ora Sangiovese-Merlot","Veliterna Vini","Lazio"
"Oracolo Veneto Rosso","Inama Azienda Agricola","Veneto"
"Orano Campania Rosato","Villa Raiano","Campania"
"Oreno Toscana","Tenuta Sette Ponti","Toscana"
"Orfeo Cabernet del Veneto Barrique","F.lli Vincenzi","Veneto"
"Orfeo Negroamaro","Paololeo","Puglia"
"Organic Cabernet Sauvignon","Invino","Venezia"
"Organic Cabernet-Merlot","Inycon","Terre Siciliane"
"Organic Chardonnay-Grillo Terre Siciliane","Pasqua Vigneti e Cantine","Veneto"
"Organic Chianti","Poggiotondo","Chianti"
"Organic Fiano","Maree d'Ione","Abruzzo"
"Organic Grillo","Inycon","Terre Siciliane"
"Organic Grillo-Chardonnay","Allumea","Sicilia"
"Organic Nero d'Avola","Vinuva","Lombardia"
"Organic Nero d'Avola","Barone Montalto","Terre Siciliane"
"Organic Nero di Troia","Maree d'Ione","Puglia"
"Organic Pinot Grigio Brut Rosé","La Jara","Veneto"
"Organic Primitivo","Casa Roscoli","Puglia"
"Organic Primitivo","Terre di Faiano","Chianti"
"Organic Prosecco Brut","La Jara","Prosecco"
"Organic Prosecco Brut","Vigna Preziosa","Prosecco"
"Organic Prosecco Extra Dry","Alberto Nani","Prosecco"
"Organic Red Blend","Farmers of Wine","Puglia"
"Organic Rosé","La Mura","Terre Siciliane"
"Organic Rosé Prosecco","Baglietti","Prosecco"
"Organic Rosso","Famiglia Grillo","Toscana"
"Organic Rosso Piceno","Daylesford","Veneto"
"Organic Sangiovese-Canaiolo","Poggiotondo","Chianti"
"Organic Selection Chardonnay","Inycon","Terre Siciliane"
"Organic Syrah","Tavernello","Terre Siciliane"
"Organic Trebbiano-Chardonnay","Tavernello","Rubicone"
"Organic Valdobbiadene Prosecco Superiore Brut","Jeio","Conegliano-Valdobbiadene Prosecco"
"Organic Verdicchio Spumante Extra Dry","Moncaro","Marche"
"Organico Bello Trebbiano-Chardonnay","Tavernello","Emilia-Romagna"
"Organico Rosso d'Italia","Il Capolavoro","Veneto"
"Organico Sangiovese","Tavernello","Rubicone"
"Organicum Catarratto","Musìta","Sicilia"
"Orgiolo Lacrima di Morro d’Alba Superiore","Marotti Campi","Lacrima di Morro d'Alba"
"Orgno Merlot Veronese","Fasoli Gino","Veneto"
"Orgoglio Bianco","Baglio Gibellina","Terre Siciliane"
"Orhora Toscana","Olivi Le Buche","Toscana"
"Ori Vernaccia di San Gimignano Riserva","Il Palagione","Vernaccia di San Gimignano"
"Origine Cerasuolo d'Abruzzo","Passione Natura","Montepulciano d'Abruzzo"
"Origine Riserva Vino Nobile di Montepulciano","Nottola","Toscana"
"Origine Spumante Brut","Valdo","Conegliano-Valdobbiadene Prosecco"
"Origines Italicae Nero d'Avola","Piccini","Sicilia"
"Origini Verdicchio dei Castelli di Jesi Classico Superiore","Fattoria Nannì","Verdicchio dei Castelli di Jesi"
"Oriolus Bianco","Bindi Sergardi","Toscana"
"Orion Barolo","Wongraven","Barolo"
"Orion Primitivo","Li Veli","Salento"
"Orion Vermentino di Sardegna","Vigneti Zanatta","Vermentino di Sardegna"
"Ornati Barbera d'Alba","Parusso","Barbera d'Alba"
"Ornato Barolo","Pio Cesare","Piemonte"
"Orneto Cabernet Sauvignon","Cantina Giorni","Basilicata"
"Ornus","Ornellaia","Bolgheri Superiore"
"Oro Bollicine","Mionetto","Veneto"
"Oro dei Sani Chianti","Loggia dei Sani","Toscana"
"Oro dei Sani Passo Premium Rosso","Loggia dei Sani","Toscana"
"Oro di Eméra Primitivo di Manduria","Emera","Puglia"
"ORO Premium","Finale Grande","Primitivo di Manduria"
"Oro Prosecco Brut","Conte Priuli","Prosecco"
"ORO Prosecco Treviso Brut","Val d'Oca","Prosecco di Treviso"
"Oro Puro Prosecco Valdobbiadene Superiore Brut","Valdo","Conegliano-Valdobbiadene Prosecco"
"Oropasso Garganega-Chardonnay","Biscardo","Valpolicella"
"Orriu un Anno dopo Vermentino","Quartomoro","Sardegna"
"Orsone Friulano","Bastianich","Colli Orientali del Friuli"
"Orto delle Monache Riserva Morellino di Scansano","Tenuta dell'Argentaia","Morellino di Scansano"
"Orus Negroamaro","Vinosia","Campania"
"Orus Primitivo","Vinosia","Campania"
"Orvieto","Sensi","Orvieto"
"Orvieto","Cantine Minini","Orvieto"
"Orvieto","Bartali","Orvieto"
"Orvieto Classico","Cantina Cardeto","Orvieto Classico"
"Orvieto Classico","Badia Corti","Orvieto Classico"
"Orvieto Classico","Gaetano d’Aquino","Orvieto Classico"
"Orvieto Classico","Cecchi","Orvieto Classico"
"Orvieto Classico","Tiniere","Orvieto Classico"
"Orvieto Classico","Collezione Marchesini","Orvieto Classico"
"Orvieto Classico","Territori Vocati","Orvieto Classico"
"Orvieto Classico","Galadino","Veneto"
"Orvieto Classico","Prospetti","Terre Siciliane"
"Orvieto Classico","Piccini","Orvieto Classico"
"Orvieto Classico","Sant'Orsola","Piemonte"
"Orvieto Classico","Pierleone","Orvieto Classico"
"Orvieto Classico","Poggio Civitelle","Orvieto"
"Orvieto Classico","Rocca delle Macìe","Orvieto"
"Orvieto Classico","Villacardeto","Umbria"
"Orvieto Classico","Bonacchi","Orvieto"
"Orvieto Classico","Bigi","Orvieto"
"Orvieto Classico Abboccato","Barbi","Umbria"
"Orvieto Classico Amabile","Melini","Chianti"
"Orvieto Classico Amabile","Bigi","Orvieto"
"Orvieto Classico Bianco","Ruffino","Orvieto"
"Orvieto Classico Dry White","Roio","Orvieto Classico"
"Orvieto Classico Secco","Melini","Chianti"
"Orvieto Classico Superiore","Castello di Corbara","Orvieto Classico"
"Orvieto Classico Superiore","Salviano Titignano","Orvieto Classico"
"Osè Langhe Rosato","Rocche Costamagna","Barolo"
"Oslavje","Radikon","Collio"
"Ossessione","Mosby","Marche"
"Osso San Grato Gattinara","Antoniolo","Gattinara"
"Ostrea Vernaccia di San Gimignano","Mormoraia","Toscana"
"Ostuni","Montedidio","Puglia"
"Otello 1813 Nero di Lambrusco","Ceci","Emilia"
"Otello Lambrusco","Ceci","Emilia"
"Otin Fiorin Barolo","Cappellano","Barolo"
"Otin Maté Barbera d'Alba","Cascina Bruni","Barbera d'Alba"
"Òtre Primitivo","Teanum","Puglia"
"Ottavino Piceno Novello","Moncaro","Rosso Piceno"
"Ottavio Bonarda","Castelli del Duca","Colli Piacentini"
"Otto Decenni","Barbanera","Toscana"
"Otto Soave","Prà","Verona"
"Otto Soave Classico","Prà","Soave Classico"
"Ottocentonero Lambrusco","Albinea Canali","Piemonte"
"Ottone I Barbera Piemonte","San Silvestro","Piemonte"
"Ovadia Estates Rosso di Montepulciano","Bartenura","Piemonte"
"OXS Lagrein","Niklas","Südtirol-Alto Adige"
"Oxydia Zibibbo","Florio","Sicilia"
"Oyèll Sauvignon Blanc","Laimburg","Südtirol-Alto Adige"
"Oyèll Sauvignon Blanc Riserva","Laimburg","Trentino-Alto Adige"
"P Limited Edition Primitivo Gioia del Colle Riserva","Tre Pini","Gioia del Colle"
"Pacato Primitivo di Manduria","Colle Al Vento","Primitivo di Manduria"
"Paccamora Catarratto","Curatolo Arini","Terre Siciliane"
"Pactio Toscana Rosso","Fertuna","Toscana"
"Pacus","Terra dei Re","Basilicata"
"Paesaggio Primitivo di Manduria","Cantine Pervini","Puglia"
"Paesi Tuoi Barolo","Vite Colte","Barolo"
"Pagadebit di Romagna","Poderi dal Nespoli","Romagna"
"Pagliarese Chianti Classico","Fattoria dei Pagliaresi","Chianti Classico"
"Pagliareto Vino Nobile di Montepulciano","Lunadoro","Vino Nobile di Montepulciano"
"Pagliaro Montefalco Sagrantino Secco","Paolo Bea","Montefalco Sagrantino"
"Pagliatura Vermentino della Maremma Toscana","Fattoria di Magliano","Toscana"
"Paiagal Barbera d'Alba","Marchesi di Barolo","Barolo"
"Paiagallo Barolo","Mauro Veglio","Barolo"
"Paiara Puglia Rosso","Tormaresca","Puglia"
"Pairolero Barbera d'Alba (Superiore)","Sottimano","Barbera d'Alba"
"Paisan Nebbiolo d'Alba","Bersano","Nebbiolo d'Alba"
"Paitin Langhe","PAITIN","Langhe"
"Pajè Barbaresco","Roagna","Barbaresco"
"Pajè Barbaresco Riserva","Roagna","Barbaresco"
"Pajè Barbaresco Vecchie Viti","Roagna","Barbaresco"
"Pal Sun Recioto della Valpolicella Classico","Villa Monteleone","Valpolicella"
"Palanca Valpolicella Ripasso Superiore","Tommasi","Valpolicella Ripasso"
"Palás Barbera d'Asti","Michele Chiarlo","Barbera d'Asti"
"Palás Barolo","Michele Chiarlo","Barolo"
"Palás Dolcetto d'Alba","Michele Chiarlo","Dolcetto d'Alba"
"Palás Gavi","Michele Chiarlo","Gavi"
"Palás Piemonte Moscato","Michele Chiarlo","Piemonte"
"Palazzi Rosso Toscana","Tenuta di Trinoro","Toscana"
"Palazzina Moscato Passito","Il Cascinone","Piemonte"
"Palazzo 72 Anniversary Riserva Primitivo di Manduria","Cantolio","Primitivo di Manduria"
"Palazzo Al Campo Rosso","Spalletti","Toscana"
"Palazzo Altesi Toscana","Altesino","Toscana"
"Palazzo Contucci Vino Nobile di Montepulciano","Contucci","Toscana"
"Palazzo Dei Signori Valpolicella Superiore","Riondo","Verona"
"Palazzo della Torre","Allegrini","Veneto"
"Paleo","Le Macchiole","Toscana"
"Palestina Cabernet-Merlot","Weingut H.Lentsch","Südtirol-Alto Adige"
"Paliotto","Donini","Umbria"
"Palistorti Colline Lucchesi","Tenuta di Valgiano","Toscana"
"Palladiano Colli Berici Tai Rosso","La Giareta","Colli Berici"
"Palladino Biferno Rosso","Camillo de Lellis","Biferno"
"Palladium Blauburgunder","K Martini & Sohn","Südtirol-Alto Adige"
"Palladium Coldirus","K Martini & Sohn","Südtirol-Alto Adige"
"Palladium Gewürztraminer","K Martini & Sohn","Südtirol-Alto Adige"
"Palladium Sauvignon","K Martini & Sohn","Südtirol-Alto Adige"
"Palladium Vernatsch","K Martini & Sohn","Südtirol-Alto Adige"
"Palladium Weissburgunder","K Martini & Sohn","Südtirol-Alto Adige"
"Pallagrello Nero","Vigneti Assolati","Terre del Volturno"
"Pallio di San Floriano Verdicchio dei Castelli di Jesi Classico Superiore","Monte Schiavo","Verdicchio dei Castelli di Jesi"
"Pallio di San Floriano Verdicchio dei Castelli di Jesi Classico Superiore","Terre Monte Schiavo","Marche"
"Palmenti Negroamaro Salento Vigne Vecchie","Masseria Pietrosa","Salento"
"Palmenti Primitivo di Manduria Vigne Vecchie","Masseria Pietrosa","Primitivo di Manduria"
"Palpedrigo","Campodelsole","Toscana"
"Palpito Sant'Antimo Rosso","La Colombina","Sant'Antimo"
"Pan Montepulciano","Bosco","Montepulciano d'Abruzzo"
"Panarda Riserva Montepulciano d'Abruzzo","Frentana","Terre di Chieti"
"Pancole Rosso di Montepulciano","TorCalvano","Rosso di Montepulciano"
"Panezio Chianti Colli Senesi","Baroncini","Chianti Colli Senesi"
"Panta Rei Barbera d'Asti","Contratto","Barbera d'Asti"
"Pantastico","Cantina Bacco","Lazio"
"Pantumas Cannonau Di Sardegna Rosato","Cantina Lilliu","Cannonau di Sardegna"
"Panzano Chianti Classico","Castelli del Grevepesa","Chianti Classico"
"Paolina Barbera d'Alba","Ca’ del Baio","Barbera d'Alba"
"Paolo e Carlo Malvasia Nera 66 Sessantasei Limited Edition","Conte di Campiano","Puglia"
"Paolo e Carlo Primitivo di Manduria Riserva","Conte di Campiano","Primitivo di Manduria"
"Paolo Valle Pinot Grigio","Azienda Vitivinicole Valle","Friuli-Venezia Giulia"
"Papà Celso Dolcetto","Abbona","Dogliani"
"Papagena Barbera d'Alba Superiore","Fontanafredda","Barbera d'Alba"
"Papale Linea Oro Primitivo di Manduria","Varvaglione","Primitivo di Manduria"
"Papale Primitivo di Manduria","Varvaglione","Puglia"
"Paradiso Riserva Valtellina Superiore","Pietro Nera","Lombardia"
"Parej Barolo","Icardi","Barolo"
"Paretaio","Falchini","San Gimignano"
"Parigi Nebbiolo d'Alba","Mauro Sebaste","Piemonte"
"Pariglia Vermentino di Sardegna","Contini","Vermentino di Sardegna"
"Parpan Dolcetto d'Alba","Fontanafredda","Piemonte"
"Parrina Bianco","Fattoria la Parrina","Parrina"
"Parrina Muraccio","Fattoria la Parrina","Parrina"
"Parrina Riserva","Fattoria la Parrina","Parrina"
"Parrina Sangiovese","Fattoria la Parrina","Parrina"
"Parrina Vermentino","Fattoria la Parrina","Parrina"
"Parvo Arneis Roero","San Silvestro","Piemonte"
"Parziale Appassimento Rosso del Veneto","Baroncini","Veneto"
"Parziale Appassimento Rosso Veronese","Farina","Rosso Veronese"
"Pas Dosé","d'Arapri","Puglia"
"Pas Dosé Blanc de Blancs","Montellori","Toscana"
"Pas Dosé Metodo Classico","Poderi dal Nespoli","Emilia-Romagna"
"Pasiteo Vino Nobile di Montepulciano","Fassati","Toscana"
"Pasithea Oro Gewürztraminer","Girlan","Südtirol-Alto Adige"
"Pass The Cookies!","di Lenardo","Friuli-Venezia Giulia"
"Passamante Salice Salentino","Li Veli","Salice Salentino"
"Passaparola Prosecco","Pradio","Prosecco"
"Passerina","Cantine di Castignano","Marche"
"Passerina Marche Evoè","Ciù Ciù","Marche"
"Passerina Passito","Aurora","Offida"
"Passetto Trebbiano-Chardonnay Marche","Umani Ronchi","Marche"
"Passi Neri Syrah","Andreas Mazzei","Sicilia"
"Passiari","Feudo Arancio","Terre Siciliane"
"Passio Barbera d'Asti","Cascina Collina","Barbera d'Asti"
"Passìo Nero d'Avola-Perricone Da Uve Leggermente Appassite","Settesoli","Sicilia"
"Passion Pinot Noir Riserva","Kellerei St. Pauls","Südtirol-Alto Adige"
"Passione Barrique","Plozza","Valtellina"
"Passione e Visione Private Selection","Domodimonti","Marche"
"Passione Speciale Salice Salentino Riserva","Sani","Veneto"
"Passionero Paso de Luna Nero di Troia","Cantina Sociale di Barletta","Puglia"
"PassioneSentimento Bianco","Pasqua Vigneti e Cantine","Veneto"
"PassioneSentimento Prosecco","Pasqua Vigneti e Cantine","Veneto"
"PassioneSentimento Rosso","Pasqua Vigneti e Cantine","Veneto"
"Passito","La Palazzola","Umbria"
"Passito","Castello di Neive","Piemonte"
"Passito","Sartarelli","Marche"
"Passito","Colosi","Terre Siciliane"
"Passito Bianco","Marion","Verona"
"Passito Bianco delle Fontane","Prà","Veneto"
"Passito della Rocca","Pieropan","Veneto"
"Passito di Pantelleria","Colosi","Terre Siciliane"
"Passito di Pantelleria","Florio","Sicilia"
"Passito Montefalco Sagrantino","Terre de Trinci","Umbria"
"Passito Moscato","Cantine Viola","Calabria"
"Passito Oro","La Spinetta","Piemonte"
"Passito Pantelleria Liquoroso","Cantine Pellegrino","Passito di Pantelleria"
"Passito Veneto","Aldegheri","Veneto"
"Passivento Merlot Rosato","Barone Montalto","Terre Siciliane"
"Passivento Nero d'Avola Rosato","Barone Montalto","Terre Siciliane"
"Passivento Rosso","Barone Montalto","Terre Siciliane"
"Passo","Stefano Accordini","Veneto"
"Passo Cale Montepulciano d'Abruzzo","Terre di Poggio","Montepulciano d'Abruzzo"
"Passo dei Punici Nero d'Avola-Syrah","Fazio","Terre Siciliane"
"Passo dei Sani Premium Rosso","Loggia dei Sani","Terre di Chieti"
"Passo del Bovaro Amarone della Valpolicella","Bovaro","Soave Classico"
"Passo del Bricco","Patrizi","Piemonte"
"Passo del Cardinale Primitivo di Manduria","Paololeo","Puglia"
"Passo del Sud Appassimento","Tagaro","Puglia"
"Passo del Sud Appassimento Edizione","Tagaro","Puglia"
"Passo delle Mule Nero d'Avola","Duca di Salaparuta","Terre Siciliane"
"Passo Di Luna Rosso","Funaro","Sicilia"
"Passo Lungo Primitivo Tardivo","San Donaci","Puglia"
"Passo Perfetto Terre di Chieti Rosso","Le Chiantigiane","Terre di Chieti"
"Passobianco","Passopisciaro","Terre Siciliane"
"Passofino Montepulciano d'Abruzzo","Feudi Bizantini","Montepulciano d'Abruzzo"
"Passolo Chardonnay","Rocca","Lombardia"
"Passolo Rosso","Rocca","Lombardia"
"Passomaggio Rosso","Abbazia Santa Anastasia","Sicilia"
"Passonaia Montecucco Rosso","Tenuta di Montecucco","Montecucco"
"Passonata Primitivo","Casa Charlize","Toscana"
"Passonero Chianti Classico","Sensi","Chianti Classico"
"Passorosso","Passopisciaro","Etna"
"Passum Barbera d'Asti Superiore","Cascina Castlet","Asti"
"Pasticcio","Terralsole","Toscana"
"Pater Sangiovese","Frescobaldi","Toscana"
"Patojà","Massimo Penna Viticoltore","Piemonte"
"Patres Barolo","San Silvestro","Barolo"
"Patriale Rosso Toscana","Piccini","Toscana"
"Patricia Pinot Noir","Girlan","Südtirol-Alto Adige"
"Pàtrimo","Feudi di San Gregorio","Campania"
"Patù Primitivo","Tenuta Giustini","Salento"
"Paule Calle Passito","Candido","Puglia"
"Paulin Dolcetto d'Alba","Gianni Gagliardo","Piemonte"
"Pavar Refosco dal Peduncolo Rosso","Lis Fadis","Colli Orientali del Friuli"
"Paverno Amarone della Valpolicella Classico","Vaona","Amarone della Valpolicella Classico"
"Pavla","Paradiso di Cacuci","Toscana"
"Paxmentis Leggermente Appassito Syrah","Tenute Orestiadi","Terre Siciliane"
"Pazzesco","Castello del Trebbio","Chianti"
"Pazzia Primitivo di Manduria","Luccarelli","Primitivo di Manduria"
"Peaoche","Lisa dal Maso","Veneto"
"Pecorino","Abruzzo nel Mondo","Abruzzo"
"Pecorino","Vigna Madre","Abruzzo"
"Pecorino","Fontamara","Terre di Chieti"
"Pecorino","Cantina della Torre","Terre Siciliane"
"Pecorino","Costantini Antonio","Abruzzo"
"Pecorino","De Liso","Terre di Chieti"
"Pecorino","La Valle del Sole","Marche"
"Pecorino","Brecciola","Abruzzo"
"Pecorino","Tenuta Secolo IX","Abruzzo"
"Pecorino","Derio","Abruzzo"
"Pecorino","Vigneti Radica","Abruzzo"
"Pecorino","Ca' Dei Giusti","Terre di Chieti"
"Pecorino","Ciù Ciù","Offida"
"Pecorino","Tesco","Terre di Chieti"
"Pecorino","Caleo","Puglia"
"Pecorino","Amodo","Terre di Chieti"
"Pecorino","Vola Volé","Abruzzo"
"Pecorino","Contrada Luce","Terre di Chieti"
"Pecorino (Unico)","Tenuta Ulisse","Terre di Chieti"
"Pecorino Abruzzo","Pasetti","Abruzzo"
"Pecorino Bianco","La Valentina","Abruzzo"
"Pecorino Castello Di Semivicoli","Masciarelli","Abruzzo"
"Pecorino Colline Teatine","Il Feuduccio","Abruzzo"
"Pecorino Controguerra","Illuminati","Controguerra"
"Pecorino Montepulciano d'Abruzzo","Bonacchi","Toscana"
"Pecorino Offida Merlettaie","Ciù Ciù","Offida"
"Pecorino Offida Ofithe","Moncaro","Offida"
"Pecorino Organic","Feudo Antico","Abruzzo"
"Pecorino Spumante Brut","Cantina Tollo","Abruzzo"
"Pecorino Spumante Extra Dry","Frentana","Terre di Chieti"
"Pecorino Terre di Chieti","Tenuta Milina 28","Fiano di Avellino"
"Pecorino Terre di Chieti","La Piuma","Terre di Chieti"
"Pedraia Nuragus di Cagliari","Santadi","Nuragus di Cagliari"
"Pegasos Sangiovese Toscana","Soldera","Toscana"
"Pegrandi Amarone della Valpolicella Classico","Vaona","Valpolicella"
"Pegrandi Amarone della Valpolicella Classico Riserva","Vaona","Amarone della Valpolicella Classico"
"Pegrandi Valpolicella Ripasso Classico Superiore","Vaona","Valpolicella Ripasso Classico"
"Peiragal Barbera d'Alba","Marchesi di Barolo","Barolo"
"Peironte Barolo","Marks & Spencer","Barolo"
"Peladi","Vini La Quercia","Montepulciano d'Abruzzo"
"Peladi Trebbiano d'Abruzzo","Vini La Quercia","Abruzzo"
"Pelago Marche Rosso","Umani Ronchi","Marche"
"Pelagrilli Brunello di Montalcino","Siro Pacenti","Brunello di Montalcino"
"Pelaverga Colline Saluzzesi","Casetta","Langhe"
"Pelisa Barbera d'Alba","Monchiero Carbone","Barbera d'Alba"
"Pellirosso Negroamaro","Coppi","Puglia"
"Pelo di Lupo Barbera d'Asti","Cantina Tre Cascine","Barbera d'Asti"
"Pelofino Toscana Rosso","Fattoria le Pupille","Maremma Toscana"
"Pendici del Baldo Pinot Nero","Cantina Mori Colli Zugna","Trentino-Alto Adige"
"Pendino Fiano di Avellino","Colli di Castelfranci","Fiano di Avellino"
"Penğ","Modeano","Friuli-Venezia Giulia"
"Penisola Sorrentina Rosso","Cantine Stinca","Campania"
"Penon Pinot Bianco","Nals Margreid","Südtirol-Alto Adige"
"Penóner Pinot Grigio","Cantina Kurtatsch","Trentino-Alto Adige"
"Peperino Toscana","Teruzzi & Puthod","Toscana"
"Pepestrino","Fèlsina","Toscana"
"Pèppoli Chianti Classico","Antinori","Chianti Classico"
"Per Elen Barolo Riserva","Cascina Adelaide","Barolo"
"Per Elisa","Terzoni","Emilia-Romagna"
"Per Laia Vermentino","Bruni","Maremma Toscana"
"Per Lui Primitivo Salento","Leone de Castris","Salento"
"Per Lui Salice Salentino Riserva","Leone de Castris","Salice Salentino"
"Per Sempre Syrah Toscana","Tua Rita","Toscana"
"Peralta","Tarucco-Geraci","Terre Siciliane"
"Perantonie Chardonnay Veronese","Fasoli Gino","Veneto"
"Perbacco Nebbiolo","Vietti","Barolo"
"Perbruno","I Giusti & Zanza","Toscana"
"Percarlo","San Giusto a Rentennano","Toscana"
"Perchè No?!","Cantine San Giorgio","Salento"
"Percorsi d'Altura Lagrein","Cantina La-Vis","Trentino"
"Perdas Longas","Francesco Cadinu","Cannonau di Sardegna"
"Perdaudin Roero Arneis","Angelo Negro","Roero"
"Perdera Monica di Sardegna","Argiolas","Sardegna"
"Pergolaia","Caiarossa","Toscana"
"Pergole Pinot Bianco","Longariva","Trentino"
"Pergole Vece Amarone della Valpolicella Classico","Le Salette","Verona"
"Pergole Vece Recioto della Valpolicella Classico","Le Salette","Recioto della Valpolicella"
"Pergolo Prosecco","Cantine di Crocetta del Montello","Prosecco"
"Perinato Pigno Soave Classico","Giannitessari","Soave Classico"
"Perla di Sicilia Cabernet Sauvignon","Cantine Simonetti","Sicilia"
"Perla Lugana","Perla del Garda","Lugana"
"Perlae Naonis Millesimato Cuvée Blanc de Blancs","San Simone","Friuli-Venezia Giulia"
"Perlaia Rosso del Lazio","Colle Picchioni","Lazio"
"Perlato Custoza Spumante","Gorgo","Bianco di Custoza"
"Perlato del Bosco","Tua Rita","Toscana"
"Perlato del Bosco Bianco Toscana","Tua Rita","Toscana"
"Perlato del Bosco Toscana Vermentino","Tua Rita","Toscana"
"Perlé","Ferrari","Trento"
"Perle Fini Müller Thurgau Frizzante","Piera Martellozzo","Trentino-Alto Adige"
"Perlé Nero","Ferrari","Trento"
"Perlé Nero Riserva","Ferrari","Trento"
"Perlé Prosecco Brut","Dal Din","Prosecco"
"Perlé Rosé","Ferrari","Trento"
"Permassimo","Tenuta Prima Pietra","Toscana"
"Pernice Calosso","La Canova di Barbero Piero","Barbaresco"
"Perno Barolo Riserva","Elio Sandri","Barolo"
"Perolla Rosato","San Felice","Maremma Toscana"
"Perolla Toscana Rosso","San Felice","Toscana"
"Perolla Vermentino","San Felice","Maremma Toscana"
"Perpiero","Tenuta Moraia","Toscana"
"Perrale Primitivo di Manduria Riserva","Trullo di Pezza","Primitivo di Manduria"
"Perste' Roero Arneis","Marco Bonfante","Roero"
"Pesanella","Monterinaldi","Chianti"
"Pesano Umbria Merlot","Falesco","Umbria"
"Petalo Moscato Il Vino Dell'Amore","Bottega","Veneto"
"Petalo Rosso Barricato","Ca'Corner","Veneto"
"Petalorosa Rosato Frizzante","Cantina di Custoza","Veneto"
"Petaloso Sweet White Sparkling","Pirovano","Veneto"
"Petaso Rosso di Montalcino","Montemercurio","Toscana"
"Petit Bout de Lune","Les Petits Riens","Valle d'Aosta"
"Petit Manseng Lazio","Casale del Giglio","Lazio"
"Petit Verdot","Casale del Giglio","Lazio"
"Petit Verdot","Antico Ceppo","Lazio"
"Petite Arvine","Institut Agricole Régional","Valle d'Aosta"
"Petite Arvine","Le Clocher","Valle d'Aosta"
"Petite Arvine","La Crotta di Vegneron","Valle d'Aosta"
"Petite Arvine","Boën","Valle d'Aosta"
"Petite Arvine","Ottin-Viticulteur Encaveur","Valle d'Aosta"
"Petite Arvine","La Source","Valle d'Aosta"
"Petite Arvine","Les Crêtes","Valle d'Aosta"
"Petite Arvine","Lo Triolet","Valle d'Aosta"
"Petite Arvine","La Kíuva","Valle d'Aosta"
"Petite Arvine","D&D Maison Agricole","Valle d'Aosta"
"Petite Arvine Valle d'Aosta","Anselmet","Valle d'Aosta"
"Petra Lava Etna Rosso","Antichi Vinai","Etna"
"Petra Toscana (Suvereto)","Petra","Toscana"
"Petraie Pigato Riviera Ligure di Ponente","Lupi","Riviera Ligure di Ponente"
"Petramora Morellino di Scansano","Pietramora","Maremma Toscana"
"Petranera Primitivo","Albea","Puglia"
"Petriccio Chianti Montespertoli","Poggio Capponi","Chianti Montespertoli"
"Petrignone Sangiovese Riserva","Tre Monti","Emilia-Romagna"
"Petrignone Sangiovese Superiore Riserva","Tre Monti","Emilia-Romagna"
"Petrucci Anfiteatro","Podere Forte","Toscana"
"Petrucci Melo","Podere Forte","Orcia"
"Petto Dragone Etna Rosso","Gambino Vini","Etna"
"Peucetico Primitivo","Coppi","Puglia"
"Pezzo Morgana Riserva Salice Salentino","Li Veli","Salice Salentino"
"Pezzole Barolo Riserva","Roberto Sarotto","Barolo"
"Pfefferer","Colterenzio (Schreckbichl)","Südtirol-Alto Adige"
"Pharus Rugaro Falerio Pecorino","Colli Ripani","Marche"
"Pharus Rupe Nero Gold Rosso Piceno","Colli Ripani","Rosso Piceno"
"Phenomena Brunello di Montalcino Riserva","Sesti","Toscana"
"Phiculle","Vitalonga","Umbria"
"Phigaia (After The Red)","Serafini & Vidotto","Montello e Colli Asolani"
"Philèo Extra Dry Rosé","Tenuta Il Bosco","Lombardia"
"Philip","Mazzei","Chianti"
"Phyllo Trebbiano d'Abruzzo","Cantine di Ora","Trebbiano d'Abruzzo"
"Piadvenza Nebbiolo d'Alba","Casavecchia","Langhe"
"Piaggione Brunello di Montalcino","Salicutti","Brunello di Montalcino"
"Piaggione Brunello di Montalcino Riserva","Salicutti","Brunello di Montalcino"
"Pian Alto Riserva Colli Berici","La Giareta","Colli Berici"
"Pian Balbo Dolcetto d'Alba","Poderi Colla","Dolcetto d'Alba"
"Pian Centive Moscato d'Asti","Olim Bauda","Asti"
"Pian del Buttero Maremma Toscana Rosso","La Pieve","Chianti"
"Pian Del Cervo Traminer Aromatico Trentino","Maso Bianco","Trentino"
"Pian del Ciampolo","Montevertine","Toscana"
"Pian della Sassaia Rosso","Podere Sasso Scritto","Toscana"
"Pian delle Vigne Brunello di Montalcino","Antinori","Brunello di Montalcino"
"Pian delle Vigne Rosso di Montalcino","Antinori","Rosso di Montalcino"
"Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva","Antinori","Toscana"
